类别,2014,2015,2016,2017,2018,2019
[东方玄幻],248978.0,302431.0,500269.0,687140.0,445810.0,412822.0
[体育竞技],643.0,,,,,
[古典仙侠],49662.0,38342.0,86447.0,147655.0,364549.0,387913.0
[吸血传奇],470.0,606.0,,,,
[奇幻修真],105271.0,82882.0,57439.0,146751.0,76100.0,92594.0
[异世大陆],143280.0,72893.0,79281.0,78791.0,29878.0,55054.0
[探险异闻],137.0,,,,,
[推理悬念],148.0,,,,,4407.0
[星际争霸],168.0,137.0,,,5271.0,32343.0
[末世危机],982.0,738.0,3141.0,4827.0,5633.0,20975.0
[架空历史],13878.0,3288.0,11587.0,18205.0,128862.0,209469.0
[江湖情仇],488.0,116.0,6507.0,1248.0,,
[灵异神怪],3183.0,744.0,,,,
[科技时代],1461.0,5688.0,1002.0,,114.0,4392.0
[穿梭时空],17353.0,3282.0,954.0,,512.0,1354.0
[穿越历史],40711.0,29126.0,14154.0,35999.0,17539.0,24667.0
[职场商战],1433.0,,,,8445.0,5733.0
[虚拟网游],1018.0,768.0,1223.0,,,2365.0
[西方奇幻],615.0,1020.0,245.0,,1125.0,15293.0
[进化变异],2472.0,2057.0,21968.0,9797.0,9719.0,6343.0
[都市异能],16685.0,64113.0,163447.0,139537.0,95390.0,112218.0
[都市生活],60281.0,59346.0,304968.0,498539.0,307564.0,274352.0
[都市重生],785.0,883.0,,6427.0,84049.0,47667.0
[青春校园],323.0,,,1519.0,,
[动漫衍生],,1099.0,,,,
[新派武侠],,874.0,27599.0,5326.0,5709.0,54659.0
[异术超能],,,1352.0,,775.0,600.0
[传统武侠],,,,7359.0,40353.0,7470.0
[王朝争霸],,,,10135.0,12983.0,27624.0
[转世重生],,,,18501.0,3325.0,
[现代修真],,,,,1865.0,7901.0
[现代战争],,,,,231.0,
[历史传记],,,,,,626.0
[原生幻想],,,,,,220.0
[奇妙物语],,,,,,8237.0
[游戏小说],,,,,,2551.0
