类别,书名,月票数
[古典仙侠],剑来,22415
[都市生活],王牌大高手,11032
[都市生活],医流武神,8306
[都市生活],最强狂兵,6797
[东方玄幻],剑骨,6478
[都市异能],临界血线,6399
[东方玄幻],帝道独尊,6385
[架空历史],长宁帝军,6120
[架空历史],碧海风云之谋定天下,5787
[架空历史],楚臣,5351
[都市异能],全能医王,4515
[东方玄幻],逆天邪神,3416
[东方玄幻],万维,2701
[星际争霸],踏星,2606
[王朝争霸],万道仙师,2582
[东方玄幻],天骄战纪,2542
[西方奇幻],骑士征程,2530
[异世大陆],九转星陨诀,2402
[都市异能],修仙十万年,2401
[古典仙侠],一剑朝天,2286
[东方玄幻],一剑独尊,2239
[都市重生],神级奶爸,2093
[异世大陆],我欲断天,2036
[异世大陆],禁天源契,1394
[古典仙侠],仗剑问仙,1068
[架空历史],山海横流,1043
[东方玄幻],至尊邪神,1007
[王朝争霸],秋风起又剑气至,794
[都市重生],重生之都市魔尊,688
[古典仙侠],锋戾,677
[都市异能],都市妙手医尊,663
[进化变异],星辰之主,505
[架空历史],大照圣朝,443
[东方玄幻],九重武神,436
[王朝争霸],英雄天路,411
[星际争霸],辐射信仰,385
[都市生活],大刁民,385
[都市异能],我要做阎罗,378
[东方玄幻],他从天上来,377
[奇幻修真],天刑纪,371
[都市生活],市井之徒,369
[奇幻修真],一剑长安,349
[奇妙物语],金币即是正义,346
[东方玄幻],我从天上来,329
[东方玄幻],狂暴逆袭,329
[古典仙侠],妖者无疆,328
[架空历史],三国之老师在此,316
[王朝争霸],死后五万年,309
[西方奇幻],黑暗圣光,307
[推理悬念],猎墓,300
[穿越历史],大明春色,285
[东方玄幻],覆海惊澜,282
[都市生活],猎户出山,277
[新派武侠],寻龙迷踪,273
[东方玄幻],轮回一剑,269
[奇幻修真],偷香高手,261
[科技时代],超维进化,256
[东方玄幻],一世独尊,256
[穿越历史],三国之最强召唤,236
[新派武侠],大侠萧金衍,230
